2026-08-31 15:27:32 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0460/0536 | 19,757 app_ids | 85.9% | decorrido 00:30:38
2026-08-31 15:27:52 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0465/0536 | 19,967 app_ids | 86.9% | decorrido 00:30:58
2026-08-31 15:28:12 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0470/0536 | 20,136 app_ids | 87.8% | decorrido 00:31:18
2026-08-31 15:28:32 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0475/0536 | 20,298 app_ids | 88.7% | decorrido 00:31:38
2026-08-31 15:28:52 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0480/0536 | 20,438 app_ids | 89.7% | decorrido 00:31:58
2026-08-31 15:29:13 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0485/0536 | 20,673 app_ids | 90.6% | decorrido 00:32:18
2026-08-31 15:29:33 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0490/0536 | 20,908 app_ids | 91.5% | decorrido 00:32:38
2026-08-31 15:29:53 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0495/0536 | 21,064 app_ids | 92.5% | decorrido 00:32:58
2026-08-31 15:30:12 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0500/0536 | 21,239 app_ids | 93.4% | decorrido 00:33:18
2026-08-31 15:30:33 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0505/0536 | 21,469 app_ids | 94.4% | decorrido 00:33:38
2026-08-31 15:30:52 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0510/0536 | 21,684 app_ids | 95.3% | decorrido 00:33:58
2026-08-31 15:31:12 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0515/0536 | 21,855 app_ids | 96.2% | decorrido 00:34:18
2026-08-31 15:31:32 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0520/0536 | 22,102 app_ids | 97.2% | decorrido 00:34:38
2026-08-31 15:31:52 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0525/0536 | 22,300 app_ids | 98.1% | decorrido 00:34:58
2026-08-31 15:32:12 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0530/0536 | 22,533 app_ids | 99.0% | decorrido 00:35:18
2026-08-31 15:32:33 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0535/0536 | 22,782 app_ids | 100.0% | decorrido 00:35:38
2026-08-31 15:32:36 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0536/0536 | 22,794 app_ids | 100.0% | decorrido 00:35:42
2026-08-31 15:32:36 | WARNING | steamreq.discovery | [DISCOVERY] 3D                     | cobertura 85.2% (22,794 distintos de 26,762 declarados)
2026-08-31 15:32:36 | WARNING | steamreq.discovery | [DISCOVERY] cobertura abaixo de 95%%: a ordenacao do endpoint pode ter sido instavel entre paginas. Reexecutar `discover --no-resume` tende a recuperar itens faltantes, pois a uniao e cumulativa.
